states,abbrev,CO2lbskWh ,CH4lbskWh ,N2OlbskWh ,SO2lbskWh ,NOxlbskWh ,HglbskWh ,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada
,,,,,,,,,,,,,,New Hampshire New Jersey New Mexico New York 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Utah Vermont Virginia Washington West Virginia Wisconsin Wyoming 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.498 3.001E-05 1.609 4.514E-05 1.305 2.320E-05 1.884 2.188E-05 1.706 2.127E-05 1.509 1.752E-05 1.228 1.965E-05 0.701 6.577E-05 0.740 2.525E-05 1.891 2.325E-05 0.796 2.827E-05 1.305 1.996E-05 2.358 2.551E-05 1.911 2.292E-05 1.570 2.283E-05 0.434 1.828E-05 1.277 2.524E-05 0.960 1.905E-05 0.959 1.694E-05 1.297 1.565E-05 1.434 1.878E-05 1.382 2.010E-05 2.046 2.474E-05 0.004 7.961E-05 1.203 3.794E-05 0.274 1.041E-05 2.079 2.367E-05 1.682 2.847E-05 2.366 2.700E-05 1.367 2.649E-05 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,US Average
